Frequency,Power Loss,Distance,Height Difference,Peak Avg. Height Diff,Peak Avg. Dist.,Max Peak,Peak Count
0.449425,90.44,0.2538042197986648,-3.0,0,0,0,1
0.449425,94.82,0.2538042197986648,-3.0,0,0,0,1
0.449425,93.31,0.2922135028981314,-2.0,0,0,0,1
0.449425,96.96000000000001,0.2922135028981314,-2.0,0,0,0,1
0.449425,98.00999999999999,0.3615033281600731,-2.0,3.0,0.15363806954746828,7.0,2
0.449425,96.13,0.3539741186428686,-5.0,2.0,0.2229276605174989,6.0,2
0.449425,90.9,0.3539741186428686,-5.0,2.0,0.2229276605174989,6.0,2
0.449425,93.53,0.2755519948429239,-6.0,0,0,0,1
0.449425,92.27000000000001,0.24641370827513365,-6.0,0,0,0,1
0.449425,90.71000000000001,0.2772926104258012,-6.0,0,0,0,1
0.449425,89.45,0.28976785566661445,-3.0,0,0,0,1
0.449425,88.03999999999999,0.28976785566661445,-3.0,0,0,0,1
0.449425,87.8,0.3022438312929745,-2.0,0,0,0,1
0.449425,87.64,0.3331232812298136,-2.0,0,0,0,1
0.449425,87.63,0.3331232812298136,-2.0,0,0,0,1
0.449425,88.61,0.3455985264700022,-2.0,1.0,0.22208291786733192,4.0,2
0.449425,90.5,0.3764777938097668,-3.0,0,0,0,1
0.449425,93.09,0.38895212607327295,-4.0,0.0,0.18527341290329813,4.0,2
0.449425,96.12,0.38895212607327295,-4.0,0.0,0.18527341290329813,4.0,2
0.449425,97.03999999999999,0.4198312108175587,-8.0,0.0,0.18527341290329813,5.0,2
0.449425,98.89,0.4014257279586785,-12.0,0.0,0.18527341290329813,5.0,2
0.449425,100.03999999999999,0.43230463010934606,-14.0,0.0,0.18527341290329813,12.0,2
0.449425,102.24000000000001,0.4707134446313032,-10.0,2.0,0.2161523150539657,6.0,2
0.449425,104.97999999999999,0.5091222591532587,-5.0,3.0,0.09263670645200273,7.0,2
0.449425,104.67,0.4782433570025911,-3.0,3.0,0.09263670645200273,7.0,2
0.449425,103.38,0.5166521715245482,-5.0,0,0,0,1
0.449425,100.96000000000001,0.48577326937388066,-11.0,0,0,0,0
0.449425,98.08,0.5241820838958361,-9.0,0,0,0,1
0.449425,100.41,0.5625908984177932,-9.0,0,0,0,1
0.449425,97.31,0.5317119962664183,-9.0,0,0,0,1
0.449425,98.72999999999999,0.5701208107883755,-6.0,0,0,0,1
0.449425,103.83,0.5392419086377079,-2.0,0,0,0,1
0.449425,103.94,0.5776507231596633,-2.0,1.0,0.09263670645164904,3.0,3
0.449425,107.37,0.5467718210089957,-3.0,1.0,0.09263670645200273,3.0,2
0.449425,108.43,0.5467718210089957,-3.0,1.0,0.09263670645200273,3.0,2
0.449425,108.53,0.5158929188583281,-1.0,1.0,0.09263670645200273,3.0,2
0.449425,104.84,0.4774841043363728,0.0,0,0,0,1
0.449425,102.8,0.5083630064870404,0.0,0,0,0,1
0.449425,94.4,0.46995419196508315,0.0,0,0,0,1
0.449425,87.94,0.43154537744312604,-5.0,0,0,0,0
0.449425,83.5,0.40066647529245847,-3.0,0,0,0,0
0.449425,83.78,0.40066647529245847,-3.0,0,0,0,0
0.449425,85.17,0.33137875861983546,-3.0,0,0,0,0
0.449425,81.97,0.33137875861983546,-3.0,0,0,0,0
0.449425,82.97,0.26209104194791805,0.0,0,0,0,0
0.449425,81.99,0.23121213979725047,1.0,0,0,0,0
0.449425,83.06,0.2003332376465829,1.0,0,0,0,0
0.449425,83.41,0.16192442312462746,0.0,0,0,0,1
0.449425,84.1,0.13104552097395988,-2.0,0,0,0,0
0.449425,83.61,0.06175780430133515,-4.0,0,0,0,0
0.449425,84.28,0.030878902150667575,-3.0,0,0,0,0
0.449425,79.5,0.03840881452195715,-3.0,0,0,0,0
0.449425,83.97,0.03840881452195715,-3.0,0,0,0,0
0.449425,84.6,0.04928219386610906,-3.0,0,0,0,0
0.449425,86.95,0.0985642051346993,-3.0,0,0,0,0
0.449425,88.75999999999999,0.0985642051346993,-3.0,0,0,0,0
0.449425,85.09,0.12944292468802668,1.0,0,0,0,0
0.449425,91.1,0.17872475335901217,-1.0,0,0,0,0
0.449425,86.9,0.17872475335901217,-1.0,0,0,0,0
0.449425,90.25999999999999,0.22800639943239023,-3.0,0,0,0,1
0.449425,92.3,0.2588847537899737,-2.0,0,0,0,1
0.449425,96.2,0.2588847537899737,-2.0,0,0,0,1
0.449425,99.72,0.30816621726424037,-3.0,0,0,0,1
0.449425,99.94,0.3390442064258141,-2.0,0,0,0,1
0.449425,102.9,0.3883254873010569,-1.0,0.0,0.12944128130709037,3.0,2
0.449425,102.72,0.3883254873010569,-1.0,0.0,0.12944128130709037,3.0,2
0.449425,103.0,0.41920329386316196,-1.0,0,0,0,1
0.449425,104.05,0.45008110042314364,-2.0,0,0,0,1
0.449425,104.94,0.48095890698205873,-2.0,0,0,0,1
0.449425,105.72999999999999,0.49343415221400905,-1.0,0.0,0.09856201395934966,3.0,2
0.449425,106.96000000000001,0.49343415221400905,-1.0,0.0,0.09856201395934966,3.0,2
0.449425,107.64,0.524312141367787,-1.0,0,0,0,1
0.449425,108.35,0.5367882995893619,-1.0,1.0,0.2713563470508418,3.0,2
0.449425,107.71000000000001,0.5367882995893619,-1.0,1.0,0.2713563470508418,3.0,2
0.449425,109.44,0.5985446430883197,-4.0,2.0,0.23455359818652444,3.0,2
0.449425,112.72999999999999,0.5985446430883197,-4.0,2.0,0.23455359818652444,3.0,2
0.449425,115.71,0.5985446430883197,-4.0,2.0,0.23455359818652444,3.0,2
0.449425,115.41,0.5860681196709985,-4.0,1.0,0.27135652965057444,3.0,2
0.449425,116.09,0.6044701332008932,-4.0,0,0,0,1
0.449425,117.52,0.5919947053761163,-4.0,4.0,0.2588792758325483,5.0,2
0.449425,118.41,0.5919947053761163,-4.0,4.0,0.2588792758325483,5.0,2
0.449425,118.84,0.610397449299094,-4.0,5.0,0.25887927583254694,7.0,2
0.449425,110.72999999999999,0.610397449299094,-4.0,5.0,0.25887927583254694,7.0,2
0.449425,110.03,0.6288003758196764,-5.0,5.0,0.2588792758325482,7.0,2
0.449425,109.37,0.6596776345778024,-3.0,5.0,0.25887854543335354,7.0,2
0.449425,112.95,0.70895781985412,-2.0,5.0,0.258878910632553,7.0,2
0.449425,116.09,0.70895781985412,-2.0,5.0,0.258878910632553,7.0,2
0.449425,116.02,0.7398348960106481,-2.0,5.0,0.25887927583254694,7.0,2
0.449425,113.99000000000001,0.7707119721637261,-2.0,4.0,0.2588785454333522,5.0,2
0.449425,117.98,0.8199916096388091,-3.0,1.5,0.2588778150283541,5.0,3
0.449425,115.46,0.8015890483137034,-3.0,4.0,0.3081585481149855,4.0,2
0.449425,118.51,0.7831866695867354,-3.0,4.0,0.38831836594550806,4.0,2
0.449425,114.09,0.8140639283331661,-2.0,2.5,0.28975598677738995,4.0,3
0.449425,118.32,0.7956620974022081,-1.0,2.0,0.20039717078314362,4.0,3
0.449425,116.57,0.8265395387454484,0.0,2.3333333333333335,0.19732925552315017,4.0,4
0.449425,119.34,0.808138073013157,1.0,2.0,0.20663543249140637,4.0,3
0.449425,119.31,0.8206147790219739,-1.0,1.5,0.2283135104744674,3.0,3
0.449425,120.99,0.8206147790219739,-1.0,1.5,0.2283135104744674,3.0,3
0.449425,117.15,0.8022140436902077,-1.0,0.5,0.2191131428085843,3.0,3
0.449425,115.62,0.771336054548566,-1.0,1.5,0.20367387433444467,3.0,3
0.449425,115.09,0.7529355018175955,0.0,0.5,0.19447359796896008,3.0,3
0.449425,115.6,0.7220573300735658,0.0,1.0,0.17903423819415692,3.0,3
0.449425,113.47,0.6911791583290018,-1.0,1.5,0.2283135104744674,3.0,3
0.449425,114.29,0.6603009865832898,-3.0,2.0,0.21287433330046068,4.0,3
0.449425,113.41,0.6110217143040413,-3.0,0.0,0.2161523150539657,3.0,2
0.449425,114.74,0.6110217143040413,-3.0,0.0,0.2161523150539657,3.0,2
0.449425,117.87,0.5926209789722751,-1.0,1.0,0.17903423819415692,3.0,3
0.449425,118.0,0.5926209789722751,-1.0,1.0,0.17903423819415692,3.0,3
0.449425,114.23,0.5742204262413059,1.0,0.0,0.2161523150539657,3.0,2
0.449425,114.47,0.5558202387127237,1.0,0.0,0.2161523150539657,3.0,2
0.449425,112.16,0.5558202387127237,1.0,0.0,0.2161523150539657,3.0,2
0.449425,110.52000000000001,0.5742206088426329,0.0,0.0,0.2161523150539657,3.0,2
0.449425,106.71000000000001,0.5926213441743978,-6.0,0.0,0.2161523150539657,3.0,2
0.449425,106.18,0.5926213441743978,-6.0,0.0,0.2161523150539657,3.0,2
0.449425,106.59,0.6110224447069581,-6.0,0.0,0.23455341558652604,3.0,2
0.449425,103.34,0.580144090357616,-2.0,0,0,0,1
0.449425,106.53999999999999,0.5985457386893731,0.0,2.5,0.166556984376178,3.0,3
0.449425,109.67,0.5985457386893731,0.0,2.5,0.166556984376178,3.0,3
0.449425,109.31,0.5860697630677917,2.0,3.0,0.36991744801241133,3.0,2
0.449425,107.36,0.55519177391393,1.0,2.0,0.14487908899081076,3.0,3
0.449425,110.06,0.5735947004345138,1.0,1.0,0.3699183610092172,3.0,2
0.449425,108.89,0.5611201855924528,3.0,2.5,0.16031890526463508,3.0,3
0.449425,109.93,0.5611201855924528,3.0,2.5,0.16031890526463508,3.0,3
0.449425,111.00999999999999,0.5486451229560739,5.0,3.0,0.24047835789750865,3.0,2
