Frequency,Power Loss,Distance,Height Difference,Peak Avg. Height Diff,Peak Avg. Dist.,Max Peak,Peak Count
0.449425,79.55,0.049665585332759166,-6.0,0,0,0,0
0.449425,78.25,0.049665585332759166,-6.0,0,0,0,0
0.449425,79.05,0.08856510728226358,-5.0,0,0,0,0
0.449425,82.4,0.11669856584849439,-4.0,0,0,0,0
0.449425,87.97,0.11669856584849439,-4.0,0,0,0,0
0.449425,89.95,0.1555980877979879,-3.0,0,0,0,0
0.449425,90.71000000000001,0.1864769899493628,-3.0,0,0,0,0
0.449425,90.82,0.22537651189885627,-2.0,0,0,0,0
0.449425,90.43,0.2642760338483637,-4.0,0,0,0,0
0.449425,91.48,0.29515493599903125,-3.0,0,0,0,1
0.449425,93.09,0.33405445794852473,-4.0,0,0,0,1
0.449425,93.32,0.3649333600991923,-2.0,0,0,0,1
0.449425,95.17,0.4038328820486858,-2.0,0,0,0,1
0.449425,93.03999999999999,0.4427324039981932,-3.0,0,0,0,1
0.449425,92.74000000000001,0.4427324039981932,-3.0,0,0,0,1
0.449425,93.32,0.5125108280983542,-2.0,0,0,0,1
0.449425,94.37,0.5125108280983542,-2.0,0,0,0,1
0.449425,93.95,0.5514103500478477,-2.0,0,0,0,1
0.449425,93.55000000000001,0.6211887741480228,-2.0,0,0,0,1
0.449425,93.25999999999999,0.6211887741480228,-2.0,0,0,0,1
0.449425,93.75999999999999,0.6600882960975162,-3.0,3.0,0.2013146525023785,8.0,2
0.449425,93.78,0.6989878180470097,-7.0,0,0,0,1
0.449425,94.47,0.7298667201976773,-5.0,1.0,0.2710930766025396,8.0,2
0.449425,95.78999999999999,0.7687662421471847,-7.0,0.0,0.309992598552047,8.0,2
0.449425,93.49000000000001,0.799645144297145,-7.0,0.0,0.309992598552047,8.0,2
0.449425,91.87,0.7916245244983051,-7.0,1.0,0.2710930766025396,8.0,2
0.449425,96.68,0.8305240464478125,-9.0,0.0,0.309992598552047,8.0,2
0.449425,102.6,0.8694235683973061,-9.0,0.0,0.318013218350873,9.0,2
0.449425,105.49000000000001,0.9003024705479736,-11.0,0.0,0.318013218350873,9.0,2
0.449425,104.63,0.9392019924974672,-11.0,1.5,0.22477472337583096,11.0,3
0.449425,108.59,0.9392019924974672,-11.0,1.5,0.22477472337583096,11.0,3
0.449425,107.89,0.9781015144469746,-13.0,2.5,0.22878503327560454,13.0,3
0.449425,107.87,1.017001036396468,-14.0,3.0,0.2482347942503513,14.0,3
0.449425,110.31,1.0478799385471356,-14.0,3.0,0.2482347942503513,14.0,3
0.449425,116.02000000000001,1.0867794604966292,-13.0,3.0,0.28312400630007817,14.0,3
0.449425,118.21000000000001,1.1256789824461366,-13.0,4.0,0.302573767274832,15.0,3
0.449425,121.97,1.1256789824461366,-13.0,4.0,0.302573767274832,15.0,3
0.449425,119.83000000000001,1.1645785043956298,-13.0,3.0,0.3529024304002461,14.0,3
0.449425,121.93,1.234356928495791,-13.0,2.3333333333333335,0.2482347942499953,15.0,4
0.449425,118.97999999999999,1.2034780263451235,-13.0,2.3333333333333335,0.2482347942499953,15.0,4
0.449425,121.14000000000001,1.2423775482946309,-13.0,3.0,0.3918019523497467,14.0,3
0.449425,120.59,1.2114986461439634,-14.0,6.0,0.46679426339397784,14.0,2
0.449425,119.69999999999999,1.2503981680934566,-14.0,6.0,0.46679426339397784,14.0,2
0.449425,118.55000000000001,1.2195192659427891,-14.0,6.0,0.46679426339397784,14.0,2
0.449425,119.97,1.2195192659427891,-14.0,6.0,0.46679426339397784,14.0,2
0.449425,120.71000000000001,1.227539885741615,-14.0,4.5,0.3226253167722575,17.0,3
0.449425,121.93,1.2355605055411623,-16.0,7.5,0.3420750777470112,23.0,3
0.449425,118.52000000000001,1.2355605055411623,-16.0,7.5,0.3420750777470112,23.0,3
0.449425,116.11000000000001,1.2046816033904948,-19.0,7.5,0.3420750777470112,23.0,3
0.449425,115.84,1.2046816033904948,-19.0,7.5,0.3420750777470112,23.0,3
0.449425,115.08000000000001,1.1738027012398273,-21.0,7.5,0.3420750777470112,23.0,3
0.449425,116.07,1.1040242771396525,-16.0,4.5,0.3226253167722575,17.0,3
0.449425,116.65,1.1040242771396525,-16.0,4.5,0.3226253167722575,17.0,3
0.449425,115.44999999999999,1.073145374988985,-17.0,6.0,0.46679426339397784,16.0,2
0.449425,117.09,1.0422664728383173,-16.0,6.0,0.46679426339397784,14.0,2
0.449425,117.6,1.0113875706869424,-12.0,6.0,0.46679426339397784,14.0,2
0.449425,116.62,0.9832541121207146,-12.0,6.0,0.46679426339397784,14.0,2
0.449425,116.99000000000001,0.9832541121207146,-12.0,6.0,0.46679426339397784,14.0,2
0.449425,122.25,0.9940197611167697,-12.0,6.0,0.4775603267772434,14.0,2
0.449425,122.84,1.0047849957244026,-13.0,7.0,0.4883259757732958,15.0,2
0.449425,127.75,1.0155498159424092,-14.0,9.0,0.4494259890619085,17.0,2
0.449425,125.63,1.065213743719069,-12.0,9.0,0.4990905132367202,17.0,2
0.449425,126.52000000000001,1.0759777351541906,-12.0,9.0,0.5098551010714956,17.0,2
0.449425,123.91999999999999,1.0759777351541906,-12.0,9.0,0.5098551010714956,17.0,2
0.449425,122.86000000000001,1.0867413121956164,-12.0,8.0,0.5206192745145195,16.0,2
0.449425,121.02000000000001,1.0975044748430143,-13.0,8.0,0.5313830335645797,16.0,2
0.449425,119.36000000000001,1.1082672230947401,-14.0,8.0,0.5702798367862606,16.0,2
0.449425,119.57,1.119029556949583,-14.0,7.0,0.48171053519001583,15.0,2
0.449425,116.65,1.12979147640633,-16.0,4.0,0.30997062366072925,16.0,3
0.449425,118.56,1.1405529814637785,-17.0,4.0,0.4428110327254907,17.0,2
0.449425,118.53999999999999,1.1405529814637785,-17.0,4.0,0.4428110327254907,17.0,2
0.449425,123.12,1.1513140721211532,-17.0,4.0,0.3542479973913679,17.0,2
0.449425,120.22,1.162074980756862,-16.0,2.0,0.17712270512803951,16.0,2
0.449425,120.41,1.1728364045152573,-15.0,3.0,0.2656841332603047,15.0,2
0.449425,119.97,1.18359834340244,-15.0,2.0,0.22678545957383944,14.0,2
0.449425,117.99000000000001,1.1943607974245123,-14.0,1.0,0.17712151231218676,13.0,2
0.449425,118.99000000000001,1.1943607974245123,-14.0,1.0,0.17712151231218676,13.0,2
0.449425,120.07,1.2051237665875716,-13.0,1.0,0.3099582071582158,14.0,3
0.449425,118.24000000000001,1.254784216611146,-14.0,1.0,0.26568040366703094,14.0,2
0.449425,122.15,1.2655477512924929,-15.0,2.0,0.18788670462987722,15.0,2
0.449425,121.43,1.2763118011294818,-17.0,1.5,0.29589071321249916,16.0,3
0.449425,121.77000000000001,1.2870763661282107,-18.0,2.5,0.30127329392372426,17.0,3
0.449425,120.12,1.2870763661282107,-18.0,2.5,0.30127329392372426,17.0,3
0.449425,122.31,1.2978414462947767,-19.0,0,0,0,1
0.449425,122.87,1.308607041635288,-20.0,0,0,0,1
0.449425,121.82,1.319373152156281,-20.0,0,0,0,1
0.449425,122.55000000000001,1.3301397778629742,-19.0,8.0,0.7341673145452208,20.0,2
0.449425,124.28999999999999,1.3409069187619145,-20.0,0,0,0,1
0.449425,124.62,1.3409069187619145,-20.0,0,0,0,1
0.449425,130.23,1.371785820912582,-20.0,0,0,0,1
0.449425,130.97,1.4026645410488534,-20.0,0,0,0,1
0.449425,130.12,1.433543079170728,-19.0,8.0,0.806692259745496,20.0,2
0.449425,130.26,1.464421435278474,-17.0,8.0,0.7570312246698994,20.0,2
0.449425,131.85,1.4952996093705815,-15.0,8.0,0.7570308606420195,20.0,2
0.449425,130.02,1.4952996093705815,-15.0,8.0,0.7570308606420195,20.0,2
0.449425,129.82,1.5261776014498025,-15.0,8.0,0.7382485457038739,20.0,2
0.449425,131.81,1.5570555935264783,-14.0,7.0,0.7691270838266615,19.0,2
0.449425,132.36,1.5879334035898278,-15.0,6.0,0.7194658667381326,18.0,2
0.449425,129.67,1.618811031637979,-17.0,2.5,0.3751721114244285,17.0,3
0.449425,129.4,1.618811031637979,-17.0,2.5,0.3751721114244285,17.0,3
0.449425,129.54,1.6496884776720009,-18.0,2.6666666666666665,0.3141001504173712,17.0,4
0.449425,130.15,1.6805657416920683,-19.0,2.0,0.3503410478480423,17.0,3
0.449425,135.26,1.7114428236972992,-19.0,3.0,0.7315600877821475,18.0,2
0.449425,132.74,1.74231990569958,-19.0,1.5,0.36577958885803363,18.0,3
0.449425,132.24,1.7731968056871978,-19.0,3.0,0.5731739942215203,18.0,3
0.449425,129.66,1.7731968056871978,-19.0,3.0,0.5731739942215203,18.0,3
0.449425,132.72,1.804073523661224,-19.0,1.0,0.2540373455896509,17.0,5
0.449425,131.92,1.8349500596195156,-18.0,2.5,0.28189105435238776,17.0,5
0.449425,132.24,1.865826413565285,-18.0,3.0,0.498682714657834,17.0,3
0.449425,132.35,1.8967025854940813,-19.0,2.0,0.4986817135838473,17.0,3
0.449425,131.33,1.8967025854940813,-19.0,2.0,0.4986817135838473,17.0,3
0.449425,129.43,1.9275787574212986,-18.0,2.0,0.48929064713183024,17.0,3
0.449425,127.44999999999999,1.9584547473314466,-18.0,1.3333333333333333,0.3261930973721015,17.0,4
0.449425,128.27,1.9893305552296083,-19.0,2.5,0.3251828490782084,17.0,5
0.449425,128.54,2.001420771982647,-20.0,2.25,0.28491374505000455,16.0,5
0.449425,128.53,2.0322960338427256,-20.0,2.142857142857143,0.1973249702525804,18.0,8
0.449425,129.41,2.0322960338427256,-20.0,2.142857142857143,0.1973249702525804,18.0,8
0.449425,126.52000000000001,2.0631712956968093,-21.0,1.8,0.2056468641419391,19.0,6
0.449425,128.9,2.124921273362606,-22.0,2.0,0.2762570697101923,20.0,6
0.449425,126.44,2.124921273362606,-22.0,2.0,0.2762570697101923,20.0,6
0.449425,126.85,2.137009487998585,-21.0,2.75,0.3050490023702742,20.0,5
0.449425,127.78,2.167883839789921,-19.0,3.1666666666666665,0.25705398425243886,20.0,7
0.449425,130.16,2.167883839789921,-19.0,3.1666666666666665,0.25705398425243886,20.0,7
0.449425,132.69,2.198758191572544,-18.0,3.5,0.26533058073485005,20.0,7
0.449425,136.85,2.229632543349931,-18.0,4.4,0.29235522831649685,20.0,6
0.449425,140.31,2.2605068951165608,-18.0,5.2,0.3890050458941826,20.0,6
0.449425,139.24,2.272595473733661,-19.0,6.5,0.43356812226755154,20.0,5
0.449425,140.94,2.272595473733661,-19.0,6.5,0.43356812226755154,20.0,5
0.449425,139.78,2.3034700074944463,-18.0,4.0,0.3293159598114034,20.0,7
0.449425,138.61,2.334344541250559,-17.0,3.0,0.202555551974459,20.0,11
0.449425,139.81,2.3464342118961126,-17.0,2.7777777777777777,0.22088783622033317,19.0,10
0.449425,138.72,2.377308927647648,-17.0,2.4444444444444446,0.2243183804175829,18.0,10
0.449425,138.86,2.377308927647648,-17.0,2.4444444444444446,0.2243183804175829,18.0,10
0.449425,139.87,2.4081836433914248,-18.0,2.5,0.24615084437114906,18.0,9
0.449425,139.13,2.4390583591281523,-19.0,1.8888888888888888,0.22223131497278686,17.0,10
0.449425,136.83,2.451149303819775,-16.0,3.2222222222222223,0.22909193820616014,16.0,10
0.449425,138.61,2.4820242015538487,-16.0,3.2222222222222223,0.2270053783646778,16.0,10
0.449425,136.5,2.4820242015538487,-16.0,3.2222222222222223,0.2270053783646778,16.0,10
0.449425,138.86,2.4820242015538487,-16.0,3.2222222222222223,0.2270053783646778,16.0,10
0.449425,138.68,2.5128990992830404,-17.0,2.090909090909091,0.17389608163595976,16.0,12
0.449425,137.85,2.5437739970041426,-17.0,2.3333333333333335,0.20359109700944328,16.0,10
0.449425,137.38,2.5625572220080453,-19.0,2.875,0.25538114166945114,17.0,9
0.449425,136.51,2.5625572220080453,-19.0,2.875,0.25538114166945114,17.0,9
0.449425,139.57,2.581340811035735,-20.0,3.2222222222222223,0.22566153558132493,19.0,10
0.449425,140.61,2.5504662773383817,-20.0,3.272727272727273,0.18463251296442829,19.0,12
0.449425,137.79,2.5692504123995104,-21.0,2.5,0.2461510263890034,21.0,9
0.449425,137.06,2.5692504123995104,-21.0,2.5,0.2461510263890034,21.0,9
0.449425,137.79,2.5880350934914307,-21.0,3.4444444444444446,0.22088809913377194,21.0,10
0.449425,134.52,2.5759461509251658,-20.0,4.285714285714286,0.2866818344069416,20.0,8
0.449425,135.86,2.5759461509251658,-20.0,4.285714285714286,0.2866818344069416,20.0,8
0.449425,130.45,2.594731742062771,-21.0,7.25,0.4134353221776089,21.0,5
0.449425,132.27,2.613517697216209,-21.0,4.333333333333333,0.32104133517652816,20.0,7
0.449425,134.34,2.613517697216209,-21.0,4.333333333333333,0.32104133517652816,20.0,7
0.449425,133.63,2.6323040163845746,-21.0,3.5,0.26533058073485005,20.0,7
0.449425,135.29,2.6510906995666663,-21.0,4.166666666666667,0.3158933650193308,21.0,7
0.449425,133.4,2.6510906995666663,-21.0,4.166666666666667,0.3158933650193308,21.0,7
0.449425,132.94,2.6698772007420373,-22.0,3.1666666666666665,0.29732592467661445,21.0,7
0.449425,133.91,2.7195369615636835,-27.0,2.875,0.29111643715727764,22.0,9
