Frequency,Power Loss,Distance,Height Difference,Peak Avg. Height Diff,Peak Avg. Dist.,Max Peak,Peak Count
0
0.449425,83.21000000000001,0.038105832097271294,-121.0,0,0,0,0
0.449425,86.05,0.04904642765649984,-121.0,0,0,0,0
0.449425,81.36,0.030878902150667575,-121.0,0,0,0,0
0.449425,82.28,0.049046427656497193,-121.0,0,0,0,0
0.449425,78.51,0.03810583209726789,-121.0,0,0,0,0
0.449425,84.05,0.08715225975376509,-122.0,0,0,0,0
0.449425,84.91,0.08715225975376509,-122.0,0,0,0,0
0.449425,86.03,0.09809267238477462,-121.0,0,0,0,0
0.449425,87.12,0.1361982690325889,-121.0,0,0,0,0
0.449425,89.63,0.14713873418458484,-122.0,0,0,0,0
0.449425,90.48,0.19618461305568308,-121.0,0,0,0,1
0.449425,91.81,0.22706351520635065,-119.0,0,0,0,1
0.449425,92.62,0.24523030899781662,-119.0,0,0,0,1
0.449425,93.89,0.2761092111484842,-117.0,0,0,0,1
0.449425,95.64,0.2761092111484842,-117.0,0,0,0,1
0.449425,97.88,0.3251547241614083,-116.0,0,0,0,1
0.449425,99.16,0.35603344338191173,-116.0,0,0,0,1
0.449425,98.66,0.35603344338191173,-116.0,0,0,0,1
0.449425,98.7,0.4050787734653963,-116.0,0,0,0,1
0.449425,99.49000000000001,0.43595730975710084,-115.0,0,0,0,1
0.449425,98.97,0.45412392061935736,-115.0,0,0,0,1
0.449425,96.33,0.48500245691012184,-116.0,0,0,0,1
0.449425,99.92,0.5340474211331914,-116.0,0,0,0,1
0.449425,98.55000000000001,0.5158808102709349,-116.0,0,0,0,1
0.449425,97.19,0.5158808102709349,-116.0,0,0,0,1
0.449425,97.89,0.5285918210526537,-116.0,2.5,0.11988607395615261,122.0,3
0.449425,101.68,0.5594698085535639,-116.0,0,0,0,1
0.449425,101.28,0.5413022830477315,-115.0,0,0,0,1
0.449425,103.48,0.5721800876189378,-115.0,5.0,0.27065105006297285,122.0,2
0.449425,99.49000000000001,0.5540129279697952,-116.0,0,0,0,1
0.449425,96.34,0.5848909154682319,-117.0,0,0,0,1
0.449425,94.41,0.5976026579620747,-119.0,0,0,0,1
0.449425,94.11,0.5976026579620747,-119.0,0,0,0,1
0.449425,95.12,0.628480828388252,-119.0,0,0,0,1
0.449425,97.72,0.6411934855313703,-122.0,3.0,0.23431746247434948,122.0,2
0.449425,101.55000000000001,0.6720718388862484,-122.0,4.0,0.21252031084045392,124.0,3
0.449425,102.65,0.6720718388862484,-122.0,4.0,0.21252031084045392,124.0,3
0.449425,106.66,0.684785410683119,-121.0,4.0,0.43775419347848576,126.0,2
0.449425,104.2,0.684785410683119,-121.0,4.0,0.43775419347848576,126.0,2
